beta,config_idx,abs_mean_P,mean_abs_P,chi_P,gamma_held,polyakov_sample_count,polyakov_half_A_sample_count,polyakov_half_B_sample_count,gamma_held_loop_sample_count
6.55,28,0.501744736971,0.537100399886,0.11816069638,NaN,144,72,72,1728
6.55,29,0.502128776655,0.541217614849,0.115836927429,NaN,144,72,72,1728
6.55,30,0.48243957689,0.52864056649,0.117360097601,NaN,144,72,72,1728
6.55,31,0.565422230299,0.57476158071,0.075647961043,NaN,144,72,72,1728
6.8,0,0.577436970604,0.595365844123,0.092852943065,NaN,144,72,72,1728
6.8,1,0.354513096529,0.469046359131,0.166626455495,NaN,144,72,72,1728
6.8,2,0.451763906048,0.506168891777,0.122499957872,NaN,144,72,72,1728
6.8,3,0.36617632541,0.464752899643,0.14623328685,NaN,144,72,72,1728
6.8,4,0.555012048262,0.575187632111,0.095435557271,NaN,144,72,72,1728
6.8,5,0.566518307645,0.579806368356,0.081767289683,NaN,144,72,72,1728
6.8,6,0.335005108015,0.421410421546,0.137114907508,NaN,144,72,72,1728
6.8,7,0.025793186416,0.409912600368,0.237851753896,NaN,144,72,72,1728
6.8,8,0.208102953674,0.372664080064,0.166351937181,NaN,144,72,72,1728
6.8,9,0.632072886952,0.641484713616,0.06087285163,NaN,144,72,72,1728
6.8,10,0.394092016849,0.472187970695,0.153460966898,NaN,144,72,72,1728
6.8,11,0.252586678429,0.448146121432,0.206539297549,NaN,144,72,72,1728
6.8,12,0.329503788048,0.463330695471,0.180005752349,NaN,144,72,72,1728
6.8,13,0.483805057011,0.540686464122,0.132482736259,NaN,144,72,72,1728
6.8,14,0.414527544169,0.492007640243,0.141701325863,NaN,144,72,72,1728
6.8,15,0.130937098406,0.433808485063,0.236741300697,NaN,144,72,72,1728
6.8,16,0.448829004444,0.513951109479,0.132130783295,NaN,144,72,72,1728
6.8,17,0.38941288953,0.463915784441,0.133889329094,NaN,144,72,72,1728
6.8,18,0.534611871111,0.578108727233,0.113475201918,NaN,144,72,72,1728
6.8,19,0.461669743648,0.489690155077,0.097489231586,NaN,144,72,72,1728
6.8,20,0.114609557664,0.321445213027,0.142531680009,NaN,144,72,72,1728
6.8,21,0.441676715278,0.515062187354,0.150472473927,NaN,144,72,72,1728
6.8,22,0.512869046792,0.570460076659,0.125708100417,NaN,144,72,72,1728
6.8,23,0.206856119962,0.387161807231,0.173020897429,NaN,144,72,72,1728
6.8,24,0.478532863568,0.537855091825,0.126692625109,NaN,144,72,72,1728
6.8,25,0.320357959126,0.443873564794,0.159650938225,NaN,144,72,72,1728
6.8,26,0.240812987878,0.419997041378,0.189966717842,NaN,144,72,72,1728
6.8,27,0.213077748947,0.422621285564,0.207028454193,NaN,144,72,72,1728
6.8,28,0.606312858617,0.631217627331,0.097068249556,NaN,144,72,72,1728
6.8,29,0.521523860071,0.544456937323,0.096464110679,NaN,144,72,72,1728
6.8,30,0.391688742607,0.471638410582,0.13300484759,NaN,144,72,72,1728
6.8,31,0.57566507689,0.604023877643,0.100723566267,NaN,144,72,72,1728
