sample_i,sample_j,signature_distance,high_mode_distance,high_distance_over_delta_h,sample_i_high_norm,sample_j_high_norm,action_i,action_j,action_agree
0,44448,0.04642768384410537,0.018014436478648352,1.5440883132117953,0.22129127192689965,0.22378666332869687,0,0,True
0,29195,0.04645223513949475,0.016656623137644908,1.4277047830441179,0.22129127192689965,0.22294930058990134,0,0,True
0,42462,0.046760696558774933,0.014968034597437237,1.282969207560068,0.22129127192689965,0.22351292638509,0,0,True
0,21887,0.047140444945331816,0.02318747852842516,1.9874901249909713,0.22129127192689965,0.22127169018750215,0,0,True
1,33169,0.027171362565162453,0.01368523960603155,1.1730157956493577,0.22028125438500368,0.22034815881485573,0,0,True
1,26535,0.029279783215489446,0.014391121361709336,1.2335197015441302,0.22028125438500368,0.22065654879867297,0,0,True
1,1987,0.0316749779151215,0.015897512612692222,1.3626384296555571,0.22028125438500368,0.22034513397179173,0,0,True
1,39803,0.03192691365436725,0.014314990438944231,1.2269942202583315,0.22028125438500368,0.22019087096631962,0,0,True
1,4649,0.03286472433549175,0.016273491860946728,1.3948650920842172,0.22028125438500368,0.2201724186114981,0,0,True
1,35830,0.0340614552465981,0.013320918756095285,1.1417884204654196,0.22028125438500368,0.22067497151212184,0,0,True
1,29197,0.036168670678827924,0.0180848939689503,1.5501275022523417,0.22028125438500368,0.22023355391081922,0,0,True
1,2,0.03627418794031126,0.012286601119335699,1.0531329814256105,0.22028125438500368,0.22034948346925123,0,0,True
1,8621,0.036366579454786045,0.016506200483751125,1.4148114648326386,0.22028125438500368,0.22018985583721934,0,0,True
1,35831,0.03669823029395297,0.018361099267522128,1.573802146423278,0.22028125438500368,0.22017216613853396,0,0,True
1,0,0.0367832413013099,0.012938005420631322,1.1089674101072196,0.22028125438500368,0.22129127192689965,0,0,True
1,31182,0.03679661011011622,0.012163721601595848,1.0426004939120495,0.22028125438500368,0.22129856506820747,0,0,True
1,31184,0.03691977500555827,0.013391706921287883,1.147855952953441,0.22028125438500368,0.22034638341964888,0,0,True
1,19901,0.03716727511047692,0.016300067676381553,1.3971430099128221,0.22028125438500368,0.22110715603705874,0,0,True
1,33170,0.03892539549695814,0.01252189737037754,1.0733011499834713,0.22028125438500368,0.22028076119082618,0,0,True
1,11283,0.039426826863828736,0.01760139935072014,1.508685273937576,0.22028125438500368,0.22027424356287004,0,0,True
1,46436,0.04062102183250567,0.02066686646791601,1.7714385360675022,0.22028125438500368,0.22053503574055433,0,0,True
1,22563,0.04099297299302804,0.018767504260518417,1.6086367192871178,0.22028125438500368,0.2204504821701852,0,0,True
1,46437,0.04110404762206944,0.016068026785683528,1.377253871113574,0.22028125438500368,0.22019153865654048,0,0,True
1,1988,0.041853571285573085,0.014065239496220117,1.2055870831363342,0.22028125438500368,0.22028323261763755,0,0,True
1,19903,0.0419671150080968,0.012386079167389525,1.0616596367891071,0.22028125438500368,0.2204415479882739,0,0,True
1,42465,0.04222238557524034,0.019471481700491188,1.6689773987813161,0.22028125438500368,0.22027187447420804,0,0,True
1,39802,0.04390959807214421,0.02161976865930147,1.8531155365718552,0.22028125438500368,0.22093831629347194,0,0,True
1,11281,0.04460636991309903,0.013629604634253677,1.1682471030605055,0.22028125438500368,0.22149800616873894,0,0,True
1,15254,0.044918892894362045,0.022840915156581217,1.9577848132047402,0.22028125438500368,0.22053074004437542,0,0,True
1,15255,0.0450495687992403,0.01810728096249772,1.5520463796563333,0.22028125438500368,0.22019260832640944,0,0,True
1,29196,0.04596357123207494,0.016119546505618497,1.381669829256135,0.22028125438500368,0.22113213532685846,0,0,True
1,42463,0.046659632551111774,0.014431984995989678,1.2370222846086862,0.22028125438500368,0.22150588634225238,0,0,True
1,21888,0.0466757727433793,0.022837901246313227,1.957526479083249,0.22028125438500368,0.22027487105804117,0,0,True
2,33170,0.026993973684308392,0.013490742810651985,1.1563447091538859,0.22034948346925123,0.22028076119082618,0,0,True
2,26536,0.02914740786398585,0.014014487712826243,1.201236947859773,0.22034948346925123,0.2201732335479551,0,0,True
2,39804,0.03141034986680765,0.01422853572164951,1.219583845875817,0.22034948346925123,0.22055278704870662,0,0,True
2,1988,0.03145548182309514,0.01568118708723294,1.3440963167170268,0.22034948346925123,0.22028323261763755,0,0,True
2,4650,0.03264732546379417,0.01582194111743722,1.356160899105351,0.22034948346925123,0.2208064923796158,0,0,True
2,35831,0.03331469360143266,0.013140587657182947,1.12633153161579,0.22034948346925123,0.22017216613853396,0,0,True
2,31185,0.0357867289625463,0.012429333487036278,1.0653671349138272,0.22034948346925123,0.22156667879667957,0,0,True
2,8622,0.0358102109854471,0.01640303330864125,1.4059685998569262,0.22034948346925123,0.22055740273285548,0,0,True
2,29198,0.03590990695261603,0.017851335880475588,1.530108318455095,0.22034948346925123,0.2204274444089523,0,0,True
2,1,0.03627418794031126,0.012286601119335699,1.0531329814256105,0.22034948346925123,0.22028125438500368,0,0,True
2,35832,0.03648390997418869,0.017902928587381496,1.5345305325984457,0.22034948346925123,0.2208005674520854,0,0,True
2,19902,0.03691788554338458,0.01572729123338827,1.3480480846978589,0.22034948346925123,0.22022701313033982,0,0,True
2,33171,0.03752629965885609,0.01223568761411028,1.0487689843338117,0.22034948346925123,0.22136778165861415,0,0,True
2,11284,0.03879455182551939,0.016783614547033508,1.4385897169884931,0.22034948346925123,0.22134600447186278,0,0,True
2,46438,0.04006123305887943,0.015991872040666256,1.3707263479287013,0.22034948346925123,0.22099001335576102,0,0,True
2,22564,0.04039523321517267,0.018597319998328112,1.5940495557834422,0.22034948346925123,0.2202195623736017,0,0,True
2,1989,0.0404274324189269,0.013850914675933607,1.1872164585193576,0.22034948346925123,0.22137591821558983,0,0,True
2,46437,0.04042918141060183,0.020296406736114235,1.7396849731365336,0.22034948346925123,0.22019153865654048,0,0,True
2,42466,0.04165801931156993,0.018661438139945922,1.599545374276253,0.22034948346925123,0.22133796761490598,0,0,True
