i,dEdt,g,R
39,-0.005568188439238009,0.08406904403471006,-0.08963723247394807
40,-0.006803652289067194,0.08374193772678526,-0.09054559001585245
41,-0.007168070355665135,0.08443008322308386,-0.091598153578749
42,-0.006777586513102868,0.08613061405863182,-0.09290820057173468
43,-0.005889332477925849,0.08868484115255004,-0.09457417363047589
44,-0.004753579772489219,0.0918004426247784,-0.09655402239726762
45,-0.0035120710728304555,0.0951310949957686,-0.09864316606859906
46,-0.00219942525422942,0.09836437147366113,-0.10056379672789055
47,-0.0008257297825659399,0.10125623221951362,-0.10208196200207956
48,0.000538814359791917,0.10359982126457197,-0.10306100690478005
49,0.0017486626419866563,0.10518529945612394,-0.10343663681413728
50,0.002639884363078812,0.10581702292177778,-0.10317713855869896
51,0.0030987219282741646,0.10539082645635359,-0.10229210452807942
52,0.003088294453575474,0.10396881108299956,-0.10088051662942409
53,0.002638764081187392,0.10178539394975845,-0.09914662986857106
54,0.0018408488377056886,0.09917002244454774,-0.09732917360684205
55,0.0008556525269571014,0.09643285690339752,-0.09557720437644042
56,-9.257981360723255e-05,0.09378712395782475,-0.09387970377143198
57,-0.0007742435266183678,0.09135437955676565,-0.09212862308338401
58,-0.0010452992567123592,0.08923472177944146,-0.09028002103615382
59,-0.0009128194517910998,0.08757620512008417,-0.08848902457187527
60,-0.0005295173971693462,0.08658438258652346,-0.0871138999836928
61,-0.0001172515434388205,0.08646052245609097,-0.08657777399952979
62,0.0001448723198034796,0.08730560696965846,-0.08716073464985498
63,0.00021616600297702515,0.08904982529612301,-0.08883365929314599
64,0.000218820063033337,0.09145492125269657,-0.09123610118966323
65,0.00036183118701160755,0.09419092106595829,-0.09382908987894668
66,0.0008022584529687599,0.09693334848635565,-0.09613109003338689
67,0.0015423832165571,0.09941141112851187,-0.09786902791195477
68,0.002440963814765801,0.10138904550291526,-0.09894808168814946
69,0.0033179437491917263,0.1026324115439914,-0.09931446779479967
70,0.004051025983271728,0.10292905671814134,-0.09887803073486962
71,0.004581797187497863,0.10216340552111083,-0.09758160833361297
72,0.004844341067739025,0.1003906595049214,-0.09554631843718238
73,0.0047040609022042795,0.09784680415365876,-0.09314274325145448
74,0.003982966521814638,0.09488009035211818,-0.09089712383030354
75,0.002567452693364683,0.09184602558543835,-0.08927857289207367
76,0.0005216219263343147,0.08903199438930053,-0.08851037246296621
77,-0.0018750298035794671,0.08664956396309262,-0.08852459376667209
78,-0.0041935299384573965,0.08487475378450098,-0.08906828372295837
79,-0.005996296893252831,0.08388147436228877,-0.0898777712555416
80,-0.006991200270234851,0.08382868378774477,-0.09081988405797962
81,-0.0071257329342594294,0.08480463742514016,-0.09193037035939959
82,-0.006568833078577405,0.08676485591589056,-0.09333368899446796
83,-0.0055902921118927695,0.08950839561957571,-0.09509868773146848
84,-0.004416461880311362,0.09271836966597145,-0.09713483154628282
85,-0.003154661203657469,0.09605038415954929,-0.09920504536320676
86,-0.0018226410100823792,0.09921077830038154,-0.10103341931046392
87,-0.0004407599572228277,0.10197081554550216,-0.10241157550272499
88,0.0008976397758627269,0.10412527373561763,-0.1032276339597549
89,0.0020343259002692515,0.10546331096777518,-0.10342898506750593
90,0.002813651242228002,0.10580557932320353,-0.10299192808097553
91,0.0031427024555436,0.10508859850031012,-0.10194589604476652
92,0.0030047872496733324,0.10342557026984939,-0.10042078302017605
93,0.002446626112483058,0.1010879054807828,-0.09864127936829974
94,0.001577352631807874,0.09841093633024589,-0.09683358369843802
95,0.0005781854848439932,0.09568252359637083,-0.09510433811152684
96,-0.00031709957688610957,0.09308623569998245,-0.09340333527686856
97,-0.0008934371390910967,0.09072928196104398,-0.09162271910013507
98,-0.001044720001136229,0.08871990025471338,-0.08976462025584961
99,-0.0008224376070451594,0.08722446287101142,-0.08804690047805658
100,-0.00040853279431471434,0.08645598706273203,-0.08686451985704674
101,-2.454970224696762e-05,0.08659756486562435,-0.08662211456787132
102,0.00018133180213066036,0.08770730664826787,-0.08752597484613721
103,0.00021538572875083595,0.08966473621099548,-0.08944935048224464
104,0.00023559714706393453,0.09219618706937895,-0.09196058992231501
105,0.00045096671468040916,0.0949644682938739,-0.09451350157919348
106,0.000981798556494759,0.09765839404263982,-0.09667659548614506
107,0.0017840568406193441,0.10002072021115954,-0.0982366633705402
108,0.002693421177885902,0.10181793636743014,-0.09912451518954424
109,0.003539200795899422,0.10281722506090726,-0.09927802426500784
110,0.004220658188817866,0.10282416753829753,-0.09860350934947966
111,0.00468590539661369,0.10176505364660245,-0.09707914824998876
112,0.004853277828940669,0.09974789538439675,-0.09489461755545608
113,0.004569200737294957,0.0970494454755072,-0.09248024473821224
114,0.003660757676692661,0.09403041628561418,-0.09036965860892152
115,0.002054386391830046,0.09103230894178337,-0.08897792254995332
116,-0.00012531296784434875,0.0883193396408128,-0.08844465260865715
117,-0.002546626078449729,0.08608839061929557,-0.0886350166977453
118,-0.004762186647895059,0.08451312390542023,-0.08927531055331529
119,-0.006360581109116914,0.08376684537379345,-0.09012742648291036
120,-0.007110990792194474,0.08399558001274947,-0.09110657080494394
121,-0.007029453291488699,0.08525607334382407,-0.09228552663531277
122,-0.006327883103814325,0.08746022828498315,-0.09378811138879747
123,-0.005276991634018041,0.09036806475075507,-0.09564505638477311
124,-0.004073147975900512,0.09364533589661414,-0.09771848387251465
125,-0.0027918023997667435,0.09695598785464535,-0.09974779025441209
126,-0.0014415091778556266,0.10002617005495122,-0.10146767923280685
127,-5.870843191717323e-05,0.10263878196893418,-0.10269749040085135
128,0.0012408801131892078,0.10458761180242276,-0.10334673168923356
129,0.0022920089790116893,0.10566381289832054,-0.10337180391930885
130,0.002952216009096273,0.10571132280213909,-0.10275910679304281
131,0.0031503091509250264,0.10471240288956067,-0.10156209373863564
132,0.002888515148148668,0.10282990524305737,-0.0999413900949087
133,0.0022300428529428568,0.10036457893066471,-0.09813453607772185
134,0.0013034792131216416,0.09764857670453687,-0.09634509749141523
135,0.0003088225516697518,0.09494287590203009,-0.09463405335036033
136,-0.0005163391790086735,0.09240377944177375,-0.09292011862078242
137,-0.000978851032637812,0.09013058317339229,-0.0911094342060301
138,-0.0010145061827845914,0.0882443801650127,-0.08925888634779729
139,-0.0007170261418200097,0.08692894327758859,-0.0876459694194086
140,-0.00029031645380969695,0.08639854775528236,-0.08668886420909205
141,5.3430754147765214e-05,0.08681039491650526,-0.0867569641623575
142,0.00020355330906868252,0.08817533981859438,-0.0879717865095257
143,0.00021319791963192447,0.09032428530819564,-0.09011108738856372
144,0.00026800731201141736,0.0929554979969783,-0.09268749068496689
145,0.0005655135651069093,0.09573189920261563,-0.09516638563750872
146,0.0011830458755819478,0.09835772668091905,-0.0971746808053371
147,0.0020339896221229503,0.10058649604337372,-0.09855250642125077
148,0.002940467221461421,0.10218510031492783,-0.09924463309346641
149,0.0037474411434155336,0.10292477060607402,-0.09917732946265849
150,0.004373824940483648,0.10263591912263917,-0.09826209418215552
151,0.004767553226786514,0.10129175323092365,-0.09652420000413714
152,0.004827572881103234,0.09905207684943886,-0.09422450396833562
153,0.004385582688483672,0.09622751967836071,-0.09184193698987704
154,0.003283472844973892,0.09318287650105574,-0.08989940365608184
