sample_i,sample_j,signature_distance,high_mode_distance,high_distance_over_delta_h,sample_i_high_norm,sample_j_high_norm,action_i,action_j,action_agree
74,147484,0.030000331116999176,0.024765271422845056,1.4166516216991498,0.260320001315774,0.25918945623231093,0,0,True
74,76,0.03444334694290632,0.02649769737503088,1.5157518493014925,0.260320001315774,0.2710144799718458,0,0,True
74,72,0.03845594774380867,0.02815386762345732,1.6104900101794268,0.260320001315774,0.2489914950513734,0,0,True
74,147485,0.04403953361989765,0.03326893217724734,1.9030878328117304,0.260320001315774,0.2672334839064316,0,0,True
74,147482,0.04451534413187858,0.03726040893352813,2.131412890236441,0.260320001315774,0.24323019466384838,0,0,True
74,77,0.05018021710524686,0.03900618153744688,2.23127658840605,0.260320001315774,0.27609666920895864,0,0,True
75,147484,0.025690312447976447,0.024565396972986982,1.4052181728710273,0.265777825434649,0.25918945623231093,0,0,True
75,147485,0.03074428992370077,0.025235065329581755,1.4435253146411537,0.265777825434649,0.2672334839064316,0,0,True
75,77,0.03278984544295271,0.026000607811511,1.4873167587157072,0.265777825434649,0.27609666920895864,0,0,True
75,73,0.03629987589018554,0.02725341717919293,1.5589814052323334,0.265777825434649,0.2546138506145519,0,0,True
75,147483,0.037504220699146995,0.033884090125933894,1.9382768073530727,0.265777825434649,0.25099400205035793,0,0,True
75,147486,0.04415733001008176,0.03402509007771313,1.9463424492326644,0.265777825434649,0.274706383193533,0,0,True
75,78,0.04782160889445642,0.038293114624552906,2.1904869123599635,0.265777825434649,0.280909374554018,0,0,True
75,72,0.05595397038461446,0.041166099793742285,2.3548307238836803,0.265777825434649,0.2489914950513734,0,0,True
75,147487,0.058594397796633425,0.04541346995899705,2.5977936912515345,0.265777825434649,0.2814183592544868,0,0,True
76,147485,0.02468403614137959,0.022638218122173977,1.29497746532158,0.2710144799718458,0.2672334839064316,0,0,True
76,147486,0.03126563238785622,0.02485615642758306,1.4218505305724627,0.2710144799718458,0.274706383193533,0,0,True
76,78,0.03136791343012257,0.025651394207894525,1.4673406393574382,0.2710144799718458,0.280909374554018,0,0,True
76,147484,0.032144669127449114,0.030401155760174672,1.7390419783346849,0.2710144799718458,0.25918945623231093,0,0,True
76,74,0.03444334694290632,0.02649769737503088,1.5157518493014925,0.2710144799718458,0.260320001315774,0,0,True
76,147487,0.04349675430076779,0.033939582581737064,1.9414511508182977,0.2710144799718458,0.2814183592544868,0,0,True
76,79,0.04607277224526234,0.03770926586827315,2.1570889223566003,0.2710144799718458,0.2852462051064007,0,0,True
76,147483,0.05062741650256005,0.04386107219879363,2.5089916439424296,0.2710144799718458,0.25099400205035793,0,0,True
76,73,0.05288939614632888,0.03998711194162582,2.2873889008506536,0.2710144799718458,0.2546138506145519,0,0,True
76,147488,0.05664122720666806,0.044843640372827856,2.5651976419873987,0.2710144799718458,0.28729085254215997,0,0,True
77,147486,0.025192387542907632,0.020073736194869025,1.1482810120865294,0.27609666920895864,0.274706383193533,0,0,True
77,147485,0.02934012117375776,0.02642975955104516,1.5118655915302455,0.27609666920895864,0.2672334839064316,0,0,True
77,79,0.030466770521721084,0.025297691967010753,1.447107755792738,0.27609666920895864,0.2852462051064007,0,0,True
77,147487,0.03166812736886712,0.023801857471970774,1.3615413056210213,0.27609666920895864,0.2814183592544868,0,0,True
77,75,0.03278984544295271,0.026000607811511,1.4873167587157072,0.27609666920895864,0.265777825434649,0,0,True
77,147488,0.04259362078928018,0.0331131909012379,1.8941789406999827,0.27609666920895864,0.28729085254215997,0,0,True
77,147484,0.04398192872701732,0.03910109703325651,2.236706054078655,0.27609666920895864,0.25918945623231093,0,0,True
77,80,0.04534443107125404,0.03720923121758387,2.1284853634975085,0.27609666920895864,0.2889815257439776,0,0,True
77,74,0.05018021710524686,0.03900618153744688,2.23127658840605,0.27609666920895864,0.260320001315774,0,0,True
77,147489,0.0549557856657871,0.04353739966573869,2.490476554363045,0.27609666920895864,0.29225840261323566,0,0,True
78,147486,0.029223026470190958,0.022205807095429374,1.2702421910005701,0.280909374554018,0.274706383193533,0,0,True
78,80,0.030358254614383344,0.024983463629310355,1.429132903969533,0.280909374554018,0.2889815257439776,0,0,True
78,76,0.03136791343012257,0.025651394207894525,1.4673406393574382,0.280909374554018,0.2710144799718458,0,0,True
78,147488,0.03214142128841968,0.02255936403936051,1.2904667631213913,0.280909374554018,0.28729085254215997,0,0,True
78,147485,0.040227498311297405,0.03402443193087061,1.946304801157832,0.280909374554018,0.2672334839064316,0,0,True
78,147489,0.041997857266355416,0.0318385375730968,1.8212647507610193,0.280909374554018,0.29225840261323566,0,0,True
78,81,0.04587059201040061,0.03698057748198587,2.115405648770713,0.280909374554018,0.29211622441542684,0,0,True
78,75,0.04782160889445642,0.038293114624552906,2.1904869123599635,0.280909374554018,0.265777825434649,0,0,True
78,147490,0.054149180336763525,0.04185526207094767,2.394252979386048,0.280909374554018,0.2963104150943708,0,0,True
