i,dEdt,g,R
48,-0.0008122261251866866,0.051423587871544864,-0.05223581399673155
49,-0.001626971165332572,0.048958956014282545,-0.05058592717961512
50,-0.0025141522562940194,0.04652355423490005,-0.04903770649119407
51,-0.003472825805408794,0.0443130791480826,-0.047785904953491394
52,-0.004365088337994011,0.042606411652564555,-0.046971499990558566
53,-0.004963304085737544,0.04172497082268831,-0.04668827490842586
54,-0.005055412100037765,0.04192665608778375,-0.04698206818782152
55,-0.004555387704636357,0.04329331681465179,-0.047848704519288146
56,-0.0035412523451164163,0.04567999746449501,-0.04922124980961143
57,-0.0021881898522831816,0.04875719425581578,-0.050945384108098964
58,-0.0006642237627761602,0.052119954457000836,-0.052784178219776996
59,0.000908051745842936,0.055396635386382884,-0.05448858364053995
60,0.0024053680428340676,0.05829556798225186,-0.055890199939417795
61,0.0036543109963255577,0.060583635296953244,-0.056929324300627686
62,0.004453384087366091,0.06205354616327462,-0.057600162075908526
63,0.004655785930831671,0.06254116875443956,-0.05788538282360789
64,0.004240369486428315,0.061992422577840336,-0.05775205309141202
65,0.003311044578453215,0.06051967580060348,-0.057208631222150266
66,0.0020282894254548475,0.05839021104682413,-0.056361921621369285
67,0.0005324684692491824,0.05594248043363792,-0.05541001196438874
68,-0.0010797716200548618,0.05347992528867677,-0.05455969690873163
69,-0.002715670105549961,0.051208106117912426,-0.05392377622346239
70,-0.004227613498704388,0.04924745754744941,-0.053475071046153795
71,-0.005391496733814692,0.04769536295388709,-0.053086859687701785
72,-0.0059456562410478,0.04667511836904951,-0.05262077461009731
73,-0.005676016909807416,0.04632456350466167,-0.05200058041446909
74,-0.00451383710191549,0.04672806840717045,-0.05124190550908594
75,-0.0026013851086183204,0.04784231375420654,-0.05044369886282486
76,-0.0002783186065479365,0.04947705163642642,-0.049755370242974356
77,0.002025622005122657,0.05135750363791548,-0.049331881632792826
78,0.003939463502884127,0.053233214392003604,-0.04929375088911948
79,0.005249446328933961,0.054954303558976535,-0.04970485723004257
80,0.005897007587222308,0.056456758455433624,-0.050559750868211316
81,0.005915081382541827,0.057678381956237645,-0.05176330057369582
82,0.005379798430097678,0.05849267118186172,-0.053112872751764045
83,0.004409194233927272,0.05872865937179811,-0.05431946513787084
84,0.00317768529611253,0.05825937840136031,-0.05508169310524778
85,0.00189692444363794,0.05707965129029424,-0.0551827268466563
86,0.0007457908871103536,0.05531120045244349,-0.05456540956533314
87,-0.0002097061118778304,0.053140270866506564,-0.053349976978384395
88,-0.001036017553568476,0.050745337991235984,-0.05178135554480446
89,-0.001863432489578147,0.04827322503956516,-0.05013665752914331
90,-0.002776520051295202,0.04587716107872296,-0.04865368113001816
91,-0.003735890216130057,0.043775288600154456,-0.04751117881628451
92,-0.004570961475934859,0.04226583711354216,-0.04683679858947702
93,-0.005046318538353967,0.04166486650912301,-0.046711185047476976
94,-0.004975495638617856,0.04219115640240028,-0.04716665204101814
95,-0.004318856600214416,0.043864837601278815,-0.04818369420149323
96,-0.003191715064498099,0.0464816979810489,-0.049673413045546996
97,-0.0017764845513825872,0.04967896770719051,-0.0514554522585731
98,-0.00022807308628044337,0.05305185964051257,-0.05327993272679302
99,0.0013374315655829139,0.05624966752149691,-0.054912235955914
100,0.0027855252254330304,0.059000998855244485,-0.056215473629811455
101,0.003929225202130807,0.06108183092653517,-0.057152605724404365
