sample_i,sample_j,signature_distance,high_mode_distance,action_i,action_j,action_agree
1,30078,0.030626373539992487,0.01750493314070814,0,1,False
1,5311,0.030678353610291028,0.016533048595400758,0,1,False
1,35387,0.03093422794064655,0.016516190987939546,0,0,True
1,24767,0.03101843652838864,0.016933896784190983,0,0,True
1,24768,0.03135137712093872,0.016132728675298268,0,1,False
1,2,0.032730684202277115,0.018745100211666685,0,1,False
1,23440,0.032793012069994354,0.016925298995146533,0,0,True
1,34060,0.03315897509657321,0.018474760188786497,0,1,False
1,3984,0.03403049669605604,0.01907550312991872,0,1,False
1,6638,0.03410977933479581,0.017446300044792223,0,0,True
1,2655,0.034636848098926615,0.016698773286932832,0,0,True
1,36714,0.035691020866766544,0.01809109092841681,0,0,True
1,5310,0.03639726821562105,0.017320106974894563,0,0,True
1,32731,0.03812007286021372,0.018241965532276253,0,0,True
1,26094,0.038366428236410684,0.02088598274493263,0,0,True
1,35386,0.0395406246579329,0.018708358289167386,0,0,True
1,0,0.03962130239363283,0.02001739259288956,0,0,True
1,32733,0.0399371231656956,0.022834804684108125,0,1,False
1,26096,0.0403778521869599,0.022568148871228037,0,1,False
1,22113,0.041098459653109244,0.020818354560863183,0,1,False
1,2657,0.04135802810279563,0.02373739330336345,0,1,False
1,28751,0.04207368506313923,0.024332754846047296,0,1,False
1,30076,0.042909497636612635,0.02142441703363811,0,0,True
1,23441,0.044012017943387494,0.023464472746154236,0,1,False
1,7965,0.04407490396560242,0.02152428232263863,0,0,True
1,7966,0.0459735539138861,0.02473146579830727,0,1,False
1,38042,0.046218141745702795,0.024717580868739354,0,1,False
1,22112,0.04645127456279281,0.025293802561217084,0,0,True
1,38041,0.04657797958173111,0.022581307208310714,0,0,True
1,20785,0.047282624407472905,0.024755206837674074,0,0,True
1,36715,0.047531421874312016,0.026180309815797193,0,1,False
1,6639,0.04800188028667432,0.026573916633852723,0,1,False
1,9293,0.04821236599742592,0.025084768078655607,0,0,True
1,31406,0.048527756870851604,0.02822306984597422,0,1,False
1,39369,0.04933442466233669,0.025503896011307446,0,0,True
2,3984,0.021343608003813457,0.011121877614819357,1,1,True
2,28750,0.022122213746843245,0.012844226271340084,1,1,True
2,27424,0.023324786072677545,0.013759101741710036,1,1,True
2,34060,0.02341240610950335,0.012251363906906506,1,1,True
2,30079,0.025886537479918894,0.015345786741709458,1,1,True
2,3,0.027662355453417324,0.016431770329077326,1,1,True
2,2656,0.029148301118032717,0.01619386894539074,1,0,False
2,24769,0.02946190812889861,0.016205850948807967,1,1,True
2,24768,0.030140755636875217,0.016114176103253153,1,1,True
2,5312,0.03027716208372677,0.015899553124211194,1,1,True
2,35388,0.030819896845960374,0.01608689842409417,1,1,True
2,34061,0.030922840795970838,0.016837970417483184,1,1,True
2,3985,0.03131285206862964,0.01720751785288355,1,1,True
2,32732,0.03210122192417207,0.017735274628760705,1,0,False
2,1,0.032730684202277115,0.018745100211666685,1,0,False
2,23441,0.033064347884761244,0.017075476380672618,1,1,True
2,5311,0.03322876610142044,0.017566890816390332,1,1,True
2,26095,0.03414770829824254,0.019311448694098496,1,1,True
2,6639,0.034322436438307874,0.01770005490019669,1,1,True
2,26097,0.03529204448628507,0.02079630437883495,1,1,True
2,32734,0.035292492383752455,0.01998892755617456,1,1,True
2,30077,0.035419500201430046,0.020162689022879876,1,0,False
2,36715,0.03576911843335065,0.01844260904595254,1,1,True
2,35387,0.035850862419667416,0.018943890111133763,1,0,False
2,28752,0.03592772659243031,0.021302012474097437,1,1,True
2,2658,0.03632991101169211,0.020682757111623214,1,1,True
2,22114,0.04052944806071907,0.021372617378493986,1,1,True
2,23442,0.04058926102397192,0.02294819469745319,1,1,True
2,31407,0.042228120774985854,0.024274069313059678,1,1,True
2,7966,0.04281104798793602,0.0221132420681927,1,1,True
2,1331,0.04362695018722361,0.025094226831229915,1,1,True
2,27422,0.04426822811029586,0.025214764778832686,1,0,False
2,38042,0.04490598936758619,0.023196119450384297,1,1,True
2,3983,0.04527174584573278,0.02442627346876023,1,0,False
2,22113,0.04533327823520514,0.024176743151918832,1,1,True
2,36716,0.04533943014883182,0.024219040653136625,1,1,True
2,7967,0.045391197968020776,0.023783199662629276,1,1,True
2,6640,0.045398478108437564,0.024372203348334488,1,1,True
2,38043,0.045922368749306476,0.02397600056886551,1,1,True
3,3985,0.021118574364958426,0.011342173478820475,1,1,True
3,27425,0.021866138126772686,0.01225752882637388,1,1,True
3,34061,0.02297152634244037,0.012442195945887767,1,1,True
3,30080,0.024030617039830407,0.01273670742608959,1,1,True
3,2657,0.02537198663563578,0.014975941699971301,1,1,True
3,4,0.025772433197821368,0.013636653520452733,1,1,True
3,2,0.027662355453417324,0.016431770329077326,1,1,True
3,32733,0.02788545729361589,0.016447037994257906,1,1,True
3,24770,0.028844655234890153,0.015907217423538064,1,1,True
3,24769,0.029681511757756438,0.01530592524165982,1,1,True
3,30078,0.02981260601770002,0.017770527916708957,1,1,True
3,34062,0.02997883868264468,0.015242347727637263,1,1,True
3,5313,0.030132216783565684,0.015407395974545638,1,1,True
3,3986,0.030186422009099736,0.015339936411776368,1,1,True
3,35389,0.030817951901290937,0.0158018423576614,1,1,True
3,5312,0.03136700247058875,0.017465293165668062,1,1,True
3,26096,0.031385123230926716,0.01711939980492712,1,1,True
3,23442,0.033290158576191144,0.017309585235121727,1,1,True
3,35388,0.03361069206958711,0.018776972117842544,1,1,True
3,32735,0.033626301329333544,0.01698762728223777,1,1,True
3,26098,0.033819994956682795,0.018390252559767492,1,1,True
3,28753,0.0341846491812928,0.01772248662071291,1,1,True
3,6640,0.03453985150777258,0.01802672104053639,1,1,True
3,2659,0.034607790206845596,0.017441037343021815,1,1,True
3,36716,0.03593175384734404,0.018840868235372815,1,1,True
3,27423,0.038269038139626996,0.022125629405754774,1,1,True
3,3984,0.038874898410044635,0.022831449896542927,1,1,True
3,23443,0.03966846388915523,0.021811236929032377,1,1,True
3,1329,0.04012122657370084,0.0239537265384227,1,1,True
3,22115,0.0404775991115085,0.02169790130082281,1,1,True
3,31408,0.0406093295894353,0.020086395683646553,1,1,True
3,34060,0.04150516210266944,0.024325347221961502,1,1,True
3,1332,0.042100859439669354,0.02071238805356588,1,1,True
3,7967,0.042244735127018034,0.02260209737295041,1,1,True
3,31405,0.04261189509381527,0.02540498013786534,1,1,True
3,6639,0.043368187682563404,0.024469988746399007,1,1,True
3,38043,0.044087714013609204,0.023675005999942808,1,1,True
3,6641,0.0444178060531368,0.022394421346794615,1,1,True
4,3986,0.0211796967299985,0.011363859812216956,1,1,True
4,34062,0.022991995721158544,0.012388823153435653,1,1,True
4,2658,0.024161642082518937,0.013283557480374393,1,1,True
4,3,0.025772433197821368,0.013636653520452733,1,1,True
4,32734,0.0264568125417705,0.014624187356736927,1,1,True
4,5,0.02672767050359442,0.01136345887402412,1,1,True
4,30079,0.02762024164130966,0.014805114039497367,1,1,True
4,24771,0.029145823092345636,0.015273587157460258,1,1,True
4,24770,0.029674650369867345,0.01487372676517525,1,1,True
4,34063,0.030231782866599756,0.014404446157560924,1,1,True
4,5314,0.030248137056822336,0.01528345103022119,1,1,True
4,3987,0.030522099697149963,0.014305135200998373,1,1,True
4,26097,0.030565799441023726,0.015111471585868301,1,1,True
4,35390,0.030941943640171776,0.01579410558603909,1,1,True
4,5313,0.03096066138957085,0.01693489989672256,1,1,True
4,35389,0.033059060470314636,0.018137143515636302,1,1,True
4,23443,0.03345881043805023,0.01752582640817258,1,1,True
4,32736,0.034570236535731894,0.015129086504277628,1,1,True
4,6641,0.03472826844746223,0.01827567071408694,1,1,True
4,26099,0.03512230729837325,0.016101770674220115,1,1,True
4,2660,0.035740730484547324,0.015406999810389416,1,1,True
4,27424,0.03579903193963687,0.018588120123892958,1,1,True
4,28754,0.03598358366443408,0.01491333840721303,1,1,True
4,36717,0.03612395653136981,0.019097850826523533,1,1,True
4,3985,0.0362034674588425,0.020414016949715667,1,1,True
4,1330,0.036380741870598705,0.02032662283609149,1,1,True
4,31406,0.03847033209978522,0.02165939271147516,1,1,True
4,34061,0.03850774664247853,0.021800150732630058,1,1,True
4,23444,0.040492417676226806,0.020361404542264875,1,1,True
4,22116,0.04072418265605853,0.021636948049150184,1,1,True
4,6640,0.04188801417321493,0.02329601867258634,1,1,True
4,7968,0.042294689186734395,0.02272074321441958,1,1,True
4,31409,0.04272647662048077,0.017467290028260564,1,1,True
4,28751,0.043991813868688286,0.02422618819897381,1,1,True
4,38044,0.0440654151394315,0.023740536238173855,1,1,True
4,36716,0.04408500665302342,0.024585707878704115,1,1,True
5,3987,0.021358348109102136,0.011190297912427717,1,1,True
5,34063,0.02323543045171709,0.012114570742119012,1,1,True
5,2659,0.024981734450141107,0.011626216843650701,1,1,True
5,4,0.02672767050359442,0.01136345887402412,1,1,True
5,32735,0.027284246414106633,0.012804369458636932,1,1,True
5,30080,0.02855514368795401,0.012289551387120871,1,1,True
5,24772,0.029841998429702504,0.014592419759782226,1,1,True
