update,env_steps,mean_reward,episode_done_rate,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_variance,log_std
48,1572864,-1.7159724235534668,0.004364013671875,0.0007647648690181086,190.37162029743195,1.9414678812026978,0.003964560588428867,0.0437774658203125,0.9238694310188293,-0.4476962089538574
49,1605632,-1.643317699432373,0.004425048828125,0.001278303810977377,186.99337935447693,1.9421563874930143,0.004996009840397164,0.05803680419921875,0.923937201499939,-0.44804197549819946
50,1638400,-1.6176857948303223,0.007476806640625,0.00031493919232161716,238.43954133987427,1.9419242357835174,0.0018780145055643516,0.011749267578125,0.8951765298843384,-0.44788575172424316
51,1671168,-1.8494679927825928,0.004486083984375,0.00039751819349476136,207.94016885757446,1.94117571413517,0.0032737554779487255,0.02986907958984375,0.9225481152534485,-0.4487767815589905
52,1703936,-1.6931157112121582,0.004638671875,0.0002388778138993075,175.1240861415863,1.941237254999578,0.0035414346766629023,0.03641510009765625,0.9311845302581787,-0.44795867800712585
53,1736704,-1.6264116764068604,0.00433349609375,0.0021591226213786285,180.85191476345062,1.9414612967520952,0.00471173653841106,0.053955078125,0.92975914478302,-0.4489896893501282
54,1769472,-1.716493844985962,0.0074462890625,0.0004909820818284061,259.64364659786224,1.939875333569944,0.003518096744755894,0.0370635986328125,0.896428644657135,-0.448954701423645
55,1802240,-1.7369896173477173,0.00439453125,0.0030693648222950287,194.1895170211792,1.9400518285110593,0.006537965270126733,0.0702972412109375,0.9282576441764832,-0.4488722085952759
56,1835008,-1.652580976486206,0.004425048828125,0.0008025276238186052,179.33732450008392,1.940134889446199,0.0033740157900865597,0.03424835205078125,0.9307872653007507,-0.448710560798645
57,1867776,-1.6307482719421387,0.004547119140625,0.000534765040356433,188.4470590353012,1.9394937437027693,0.005186034112284688,0.06288909912109375,0.9297648072242737,-0.4499501585960388
58,1900544,-1.8081799745559692,0.00738525390625,0.000356242097041104,266.0720052719116,1.937342374585569,0.0031460145673918305,0.031158447265625,0.9021241068840027,-0.45092207193374634
59,1933312,-1.6763103008270264,0.00433349609375,0.0005974787418381311,176.92772662639618,1.936717408709228,0.0029516905474338273,0.0284576416015625,0.9343751668930054,-0.4501209259033203
60,1966080,-1.620107650756836,0.004486083984375,0.00037336434252210893,178.92419636249542,1.9376132041215897,0.0031092328772501787,0.0290679931640625,0.9340341687202454,-0.4499991238117218
61,1998848,-1.7074952125549316,0.007415771484375,0.0005184143201404368,242.76103508472443,1.9374668514356017,0.002542594172155077,0.02154541015625,0.9042986631393433,-0.45049554109573364
62,2031616,-1.7538412809371948,0.004425048828125,0.002743765307968715,175.78552186489105,1.937101206742227,0.006310252542789385,0.07779693603515625,0.9354008436203003,-0.4504404664039612
63,2064384,-1.6569604873657227,0.0045166015625,0.001765799703207449,165.20087498426437,1.9362627416849136,0.004815132273051859,0.0569305419921875,0.9369109869003296,-0.4510694146156311
64,2097152,-1.6388789415359497,0.004547119140625,0.0005550695095735136,177.11681997776031,1.9365417044609785,0.00351728106943483,0.03729248046875,0.9329684972763062,-0.4503816068172455
65,2129920,-1.7815234661102295,0.007354736328125,0.0002498047997505637,259.4631270170212,1.9376601772382855,0.003132977889436006,0.0330047607421875,0.9072275757789612,-0.4498458504676819
66,2162688,-1.7102880477905273,0.004669189453125,-0.0005177507537155179,175.80908000469208,1.9380696881562471,0.003910312221705681,0.043365478515625,0.9375309348106384,-0.44979456067085266
67,2195456,-1.6585780382156372,0.004486083984375,0.0007106112352630589,179.99034118652344,1.9387430101633072,0.004169992040715442,0.04659271240234375,0.9382760524749756,-0.44940197467803955
68,2228224,-1.6896001100540161,0.007598876953125,0.0012528477982414188,244.44868302345276,1.9383837161585689,0.004490810296829295,0.0535736083984375,0.9098370671272278,-0.44990748167037964
69,2260992,-1.8116230964660645,0.004486083984375,0.0014179867175698746,185.22348296642303,1.9384731827303767,0.003766433847431472,0.04143524169921875,0.940060019493103,-0.44961777329444885
70,2293760,-1.7180678844451904,0.004425048828125,0.0007490883908758406,173.6022117137909,1.9380456283688545,0.0037557080377155216,0.04120635986328125,0.9404216408729553,-0.4501503109931946
71,2326528,-1.6706520318984985,0.004486083984375,0.0025025673676282167,174.05124378204346,1.9377817446365952,0.005083888931949332,0.0592498779296875,0.9418137073516846,-0.4499155879020691
72,2359296,-1.771988868713379,0.007415771484375,0.0008590477755205939,261.4366855621338,1.9377835867926478,0.003058284339203965,0.03137969970703125,0.910228431224823,-0.4502886235713959
73,2392064,-1.7408041954040527,0.004486083984375,-0.00036023704524268396,169.97279715538025,1.9371044700965285,0.0028715024295706826,0.02645111083984375,0.9430069327354431,-0.45040959119796753
74,2424832,-1.6684609651565552,0.00445556640625,0.0023407815479004057,158.61845368146896,1.9378973236307502,0.006234874695110193,0.0687255859375,0.9434784650802612,-0.4493175148963928
75,2457600,-1.6617193222045898,0.007415771484375,0.0008454297512798803,232.07673108577728,1.940114769153297,0.003149670802486071,0.03005218505859375,0.9136822819709778,-0.4485892355442047
76,2490368,-1.8200187683105469,0.004638671875,0.0006968210800550878,181.22020947933197,1.9397645946592093,0.0032839626533132105,0.03249359130859375,0.9418004155158997,-0.44937437772750854
77,2523136,-1.6897867918014526,0.004486083984375,0.00047257639016606845,154.0249503850937,1.9371303282678127,0.002958993427000678,0.02785491943359375,0.9473775029182434,-0.45145291090011597
78,2555904,-1.6725904941558838,0.004730224609375,0.0020254807741366676,161.1960483789444,1.9352327231317759,0.005294546685945534,0.06427001953125,0.9441176652908325,-0.45099395513534546
79,2588672,-1.7474675178527832,0.00726318359375,0.000538237774890149,221.7970017194748,1.9351567225530744,0.0023081103704498673,0.02013397216796875,0.9257276058197021,-0.45203572511672974
80,2621440,-1.7463617324829102,0.004638671875,0.0005552762559091207,153.93380343914032,1.9349486446008086,0.0028492784890659095,0.02654266357421875,0.9506168961524963,-0.45090413093566895
81,2654208,-1.6780061721801758,0.00457763671875,0.0015173688807408325,154.19643610715866,1.935792081989348,0.004416037012560992,0.04967498779296875,0.9487819671630859,-0.4513280391693115
82,2686976,-1.6682692766189575,0.004608154296875,0.0006180044929351425,161.17530393600464,1.9348503956571221,0.0037229344329716696,0.0393524169921875,0.9427531361579895,-0.45158374309539795
