sample_i,sample_j,signature_distance,high_mode_distance,high_distance_over_delta_h,sample_i_high_norm,sample_j_high_norm
16,17,0.1380105921804212,0.05860255224315697,2.3495983749472455,1.204788299312089,1.2010016504976326
17,18,0.1378831222625269,0.06373170579092506,2.5552455759545714,1.2010016504976326,1.1902681618850364
17,16,0.1380105921804212,0.05860255224315697,2.3495983749472455,1.2010016504976326,1.204788299312089
18,19,0.13658648137823057,0.06948438925678906,2.7858924540443946,1.1902681618850364,1.1726043844364855
18,17,0.1378831222625269,0.06373170579092506,2.5552455759545714,1.1902681618850364,1.2010016504976326
19,20,0.13410679785555057,0.07560970867896794,3.03147971960696,1.1726043844364855,1.148272126799454
19,18,0.13658648137823057,0.06948438925678906,2.7858924540443946,1.1726043844364855,1.1902681618850364
20,21,0.1304898998207072,0.08182819951814829,3.2808025803202256,1.148272126799454,1.1178011417596445
20,19,0.13410679785555057,0.07560970867896794,3.03147971960696,1.148272126799454,1.1726043844364855
21,22,0.12584999510111344,0.08785455459378855,3.5224219902365035,1.1178011417596445,1.081998847757259
21,20,0.1304898998207072,0.08182819951814829,3.2808025803202256,1.1178011417596445,1.148272126799454
22,23,0.12037521486131779,0.09341606596500587,3.74540405466679,1.081998847757259,1.0419435441623845
22,21,0.12584999510111344,0.08785455459378855,3.5224219902365035,1.081998847757259,1.1178011417596445
23,24,0.11432882603094692,0.0982675250741559,3.9399174333961775,1.0419435441623845,0.9989576260929359
23,22,0.12037521486131779,0.09341606596500587,3.74540405466679,1.0419435441623845,1.081998847757259
24,25,0.10804432886811365,0.10220314436700856,4.097711323609849,0.9989576260929359,0.9545571861519953
24,23,0.11432882603094692,0.0982675250741559,3.9399174333961775,0.9989576260929359,1.0419435441623845
25,26,0.10191134958020041,0.10506556897788157,4.2124767724969585,0.9545571861519953,0.9103744215654633
25,24,0.10804432886811365,0.10220314436700856,4.097711323609849,0.9545571861519953,0.9989576260929359
26,27,0.09634761931758845,0.10675180294343187,4.2800842816170155,0.9103744215654633,0.8680503960347975
26,25,0.10191134958020041,0.10506556897788157,4.2124767724969585,0.9103744215654633,0.9545571861519953
27,28,0.09175221823309926,0.10721596735130562,4.298694391530375,0.8680503960347975,0.8290995515366211
27,26,0.09634761931758845,0.10675180294343187,4.2800842816170155,0.8680503960347975,0.9103744215654633
28,29,0.08844067392745433,0.10646894031320758,4.268743246954385,0.8290995515366211,0.7947557001724939
28,27,0.09175221823309926,0.10721596735130562,4.298694391530375,0.8290995515366211,0.8680503960347975
29,30,0.08657628671832038,0.10457532325157325,4.192820963700791,0.7947557001724939,0.7658218859529464
29,28,0.08844067392745433,0.10646894031320758,4.268743246954385,0.7947557001724939,0.8290995515366211
30,31,0.08612680244464696,0.10164867191195238,4.075480421891654,0.7658218859529464,0.7425585378031611
30,29,0.08657628671832038,0.10457532325157325,4.192820963700791,0.7658218859529464,0.7947557001724939
31,30,0.08612680244464696,0.10164867191195238,4.075480421891654,0.7425585378031611,0.7658218859529464
31,32,0.0868725419823189,0.09784613546357071,3.9230223271874505,0.7425585378031611,0.7246460242593711
32,31,0.0868725419823189,0.09784613546357071,3.9230223271874505,0.7246460242593711,0.7425585378031611
32,33,0.08846449966746057,0.09336320541020356,3.743284674726698,0.7246460242593711,0.7112413236457561
33,32,0.08846449966746057,0.09336320541020356,3.743284674726698,0.7112413236457561,0.7246460242593711
33,34,0.09050274524280481,0.08842851282679683,3.545434150627885,0.7112413236457561,0.7011183245799805
34,33,0.09050274524280481,0.08842851282679683,3.545434150627885,0.7011183245799805,0.7112413236457561
34,35,0.09260304174078196,0.08329813541698479,3.339737880353786,0.7011183245799805,0.6928542854083264
35,34,0.09260304174078196,0.08329813541698479,3.339737880353786,0.6928542854083264,0.7011183245799805
35,36,0.09443755854965784,0.07824796876130763,3.137257563145803,0.6928542854083264,0.6850169116668352
36,35,0.09443755854965784,0.07824796876130763,3.137257563145803,0.6850169116668352,0.6928542854083264
36,37,0.09575237151135198,0.07356137859971947,2.9493544052420084,0.6850169116668352,0.6763181829504141
37,36,0.09575237151135198,0.07356137859971947,2.9493544052420084,0.6763181829504141,0.6850169116668352
37,38,0.09637051001375348,0.06950825403432162,2.7868492834035723,0.6763181829504141,0.6657208477884105
38,39,0.09618806108384881,0.06631272138324462,2.6587282709789277,0.6657208477884105,0.6524996435708561
38,37,0.09637051001375348,0.06950825403432162,2.7868492834035723,0.6657208477884105,0.6763181829504141
39,40,0.09516773380792698,0.06411435196157118,2.5705873108503394,0.6524996435708561,0.636267388904519
39,38,0.09618806108384881,0.06631272138324462,2.6587282709789277,0.6524996435708561,0.6657208477884105
40,41,0.0933318553434482,0.06293707325881163,2.5233857467378,0.636267388904519,0.6169775866003343
40,39,0.09516773380792698,0.06411435196157118,2.5705873108503394,0.636267388904519,0.6524996435708561
41,42,0.09075543298754128,0.0626816965973487,2.513146728712047,0.6169775866003343,0.5949129780444442
41,40,0.0933318553434482,0.06293707325881163,2.5233857467378,0.6169775866003343,0.636267388904519
42,43,0.08755937396491177,0.0631495837087982,2.5319060959177455,0.5949129780444442,0.5706659375688703
42,41,0.09075543298754128,0.0626816965973487,2.513146728712047,0.5949129780444442,0.6169775866003343
43,44,0.08390371283545496,0.06408851945347178,2.5695515877166555,0.5706659375688703,0.5451127653984037
43,42,0.08755937396491177,0.0631495837087982,2.5319060959177455,0.5706659375688703,0.5949129780444442
44,45,0.0799804849618114,0.06524089253022258,2.615754590910647,0.5451127653984037,0.5193795906365224
44,43,0.08390371283545496,0.06408851945347178,2.5695515877166555,0.5451127653984037,0.5706659375688703
45,46,0.07600557478128953,0.06637886374415346,2.6613801688529617,0.5193795906365224,0.49479214516474124
45,44,0.0799804849618114,0.06524089253022258,2.615754590910647,0.5193795906365224,0.5451127653984037
45,47,0.14785113801225563,0.13325528777462603,5.342709414929095,0.5193795906365224,0.47279556839149034
46,47,0.07220832556485754,0.06732152398982895,2.699174990009836,0.49479214516474124,0.47279556839149034
46,45,0.07600557478128953,0.06637886374415346,2.6613801688529617,0.49479214516474124,0.5193795906365224
46,48,0.14062703214590588,0.13487066408691356,5.407475972237565,0.49479214516474124,0.4548276512213294
47,48,0.06881715829876879,0.06793727068780253,2.723862608305621,0.47279556839149034,0.4548276512213294
47,46,0.07220832556485754,0.06732152398982895,2.699174990009836,0.47279556839149034,0.49479214516474124
47,49,0.13442458323277895,0.13573422226735574,5.442099291867407,0.47279556839149034,0.4421386399240589
47,45,0.14785113801225563,0.13325528777462603,5.342709414929095,0.47279556839149034,0.5193795906365224
48,49,0.06603967058929706,0.0681388829541348,2.7319460080077054,0.4548276512213294,0.4421386399240589
48,47,0.06881715829876879,0.06793727068780253,2.723862608305621,0.4548276512213294,0.47279556839149034
48,50,0.1296194819085985,0.1357104599718499,5.4411465714010046,0.4548276512213294,0.4355808714838884
48,46,0.14062703214590588,0.13487066408691356,5.407475972237565,0.4548276512213294,0.49479214516474124
49,50,0.06403774783814785,0.06787744553299715,2.7214639911612952,0.4421386399240589,0.4355808714838884
49,48,0.06603967058929706,0.0681388829541348,2.7319460080077054,0.4421386399240589,0.4548276512213294
49,51,0.12647070618045975,0.13473557305129194,5.402059660735474,0.4421386399240589,0.43543220721790876
