bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
12;86;64;76;33;60;63;65;210;12;38;16;33;77;40;22;24;11;39;78;21;33;29;21;8;3;22;15;5;6;16;11;15;8;5;3;4;7;8;8;24;5;9;6;0;3;1;4;1;0;3;4;1;3;3;4;1;3;1;2;2;4;3;1;2;13;3;4;3;0;0;0,2,0,2,damp_low_band,0.0,False,False
12;86;66;75;33;60;64;66;210;12;39;17;34;76;40;23;23;11;38;77;22;33;29;21;8;3;22;15;5;6;16;12;15;7;5;3;4;7;8;8;24;5;9;6;0;3;1;4;1;0;3;4;1;3;3;4;1;3;1;2;2;4;3;1;2;13;3;4;3;0;0;0,2,0,2,damp_low_band,0.0,False,False
12;86;78;70;33;60;65;65;210;12;40;19;37;75;39;27;19;11;35;76;24;35;30;18;8;3;20;13;5;6;15;13;14;6;5;2;3;7;8;9;24;6;9;5;0;2;2;5;1;0;2;4;1;3;2;4;2;3;1;2;2;4;3;2;2;13;4;4;4;1;1;0,2,0,2,damp_low_band,0.0,False,False
12;86;84;243;43;59;58;44;210;12;40;30;41;122;29;35;11;21;28;123;27;45;28;8;8;3;28;15;4;3;15;6;15;12;3;6;2;5;6;5;26;3;8;2;2;5;1;2;1;0;2;2;2;3;2;3;3;2;1;2;2;4;1;2;1;13;4;4;3;0;2;2,2,0,2,damp_low_band,0.0,False,False
12;86;91;245;43;59;59;43;210;12;41;29;43;123;31;34;12;19;26;123;27;43;29;9;8;3;29;14;4;3;14;5;14;13;3;6;2;5;6;5;26;3;8;2;3;5;1;1;1;0;2;2;2;3;2;3;3;3;1;2;2;4;1;2;1;13;4;4;3;1;3;1,2,0,2,damp_low_band,0.0,False,False
12;86;91;68;32;59;67;65;210;12;41;22;41;74;37;30;16;13;32;74;26;37;31;15;8;3;20;10;4;6;13;15;12;5;5;2;3;6;7;10;24;7;9;4;1;1;3;5;1;0;2;3;1;3;2;4;2;3;1;2;2;4;2;2;2;13;4;4;4;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;87;102;246;41;55;61;45;211;12;40;25;46;123;34;33;13;16;23;122;27;41;30;12;8;3;31;13;3;3;12;5;12;13;3;6;3;6;5;5;27;3;9;3;4;5;2;1;1;0;2;3;2;3;2;3;3;3;1;2;2;4;2;2;1;13;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;87;106;246;41;54;62;45;211;12;40;24;47;123;35;33;14;15;22;122;27;40;30;13;8;3;31;12;3;3;12;5;12;13;3;6;3;6;4;5;28;4;9;3;4;4;2;0;1;0;2;3;2;3;2;3;3;3;1;2;2;4;2;2;1;13;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;87;107;246;42;55;62;44;211;12;41;24;47;123;35;32;14;15;21;122;27;39;30;13;8;3;31;12;3;3;11;5;12;14;3;6;3;6;4;5;28;4;9;3;4;4;2;0;1;0;2;3;2;3;2;4;3;3;1;2;2;4;2;2;1;12;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;87;117;245;41;54;63;44;211;12;40;22;50;123;38;30;16;13;19;122;26;37;30;15;8;3;31;10;3;3;10;5;10;13;3;6;3;6;3;6;28;4;9;4;5;4;3;0;1;0;2;3;2;3;2;4;2;3;1;2;2;4;2;2;2;13;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;87;135;72;33;59;71;62;211;12;37;31;53;74;25;35;11;24;20;75;26;48;26;7;8;3;25;4;4;6;7;11;7;8;3;2;2;4;3;10;27;7;7;1;4;0;5;3;1;0;2;2;1;3;3;3;3;2;1;2;2;4;1;1;0;13;4;4;3;1;2;2,2,0,2,damp_low_band,0.0,False,False
12;87;144;236;40;53;66;44;211;12;37;17;58;120;41;22;24;10;12;118;21;33;28;21;8;3;29;5;3;3;7;8;7;11;2;5;4;7;2;8;28;6;9;6;5;1;4;1;1;0;3;4;2;3;3;5;1;3;1;2;2;4;3;1;2;14;4;4;3;1;0;0,2,0,2,damp_low_band,0.0,False,False
12;87;14;164;42;61;56;56;211;11;22;26;20;102;17;11;32;33;49;104;7;46;11;16;7;3;26;4;5;4;7;10;7;9;6;5;6;3;3;10;28;7;3;5;5;1;5;2;1;0;2;3;2;3;2;4;2;3;1;2;2;4;2;2;2;13;3;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;87;154;82;33;57;73;60;211;12;34;34;58;77;19;33;12;30;14;76;22;51;21;5;8;3;29;6;3;6;7;8;7;11;3;2;3;3;2;8;28;6;5;1;5;2;4;1;1;0;3;2;1;2;3;4;2;1;1;2;2;4;1;0;1;14;3;3;3;1;1;3,2,0,2,damp_low_band,0.0,False,False
12;87;167;93;33;56;74;59;211;12;30;34;62;80;15;29;16;34;10;79;19;53;18;5;8;3;31;8;3;6;8;6;9;13;3;2;4;3;3;6;28;5;4;1;5;3;3;1;1;0;4;3;1;2;3;4;1;1;1;2;2;4;2;0;1;14;3;3;3;1;0;2,2,0,2,damp_low_band,0.0,False,False
12;87;16;175;41;61;55;55;211;12;22;28;21;105;15;14;30;35;48;106;8;48;11;13;8;3;24;4;5;4;7;12;7;8;5;5;6;3;3;10;27;7;2;5;4;0;5;3;1;0;2;4;2;3;2;4;2;3;1;2;2;4;2;2;2;13;3;4;3;1;1;0,2,0,2,damp_low_band,0.0,False,False
12;87;185;193;36;53;72;47;211;12;25;17;69;107;30;8;37;21;2;105;8;36;16;24;8;3;19;10;2;4;12;14;12;5;1;4;7;5;7;11;24;7;5;8;1;1;3;5;1;0;3;2;2;2;3;3;3;2;1;2;2;4;1;1;0;13;3;4;4;1;2;2,2,0,2,damp_low_band,0.0,False,False
12;87;188;186;35;53;72;48;211;12;24;18;69;105;28;7;37;23;2;103;7;37;15;23;8;3;19;11;2;5;13;14;13;6;1;4;7;5;8;10;24;6;4;7;1;1;2;5;1;0;2;2;2;2;3;3;3;2;1;2;2;4;1;1;0;13;3;4;4;1;2;2,2,0,2,damp_low_band,0.0,False,False
12;87;190;180;35;53;72;49;211;12;23;19;70;104;26;7;37;25;1;102;7;39;14;22;8;3;20;12;2;5;14;14;13;6;1;4;7;5;8;10;24;6;4;7;0;2;2;5;1;0;2;2;2;2;3;3;3;2;1;2;2;4;1;1;1;13;3;4;4;1;2;2,2,0,2,damp_low_band,0.0,False,False
12;87;192;173;34;53;73;50;211;11;22;21;70;102;24;8;36;27;1;100;6;40;13;21;7;3;20;14;2;5;15;13;14;7;1;4;7;4;8;9;24;5;4;7;0;2;1;4;1;0;2;2;2;2;2;3;3;3;1;2;2;4;1;2;1;13;3;4;3;1;3;1,2,0,2,damp_low_band,0.0,False,False
12;87;193;162;36;53;74;50;211;12;21;22;70;99;21;9;35;30;1;97;6;43;11;19;8;3;22;15;2;5;16;11;15;8;1;3;7;4;8;8;24;5;3;6;0;3;1;4;1;0;2;3;2;2;2;3;3;3;1;2;2;4;2;2;1;13;3;4;3;0;3;1,2,0,2,damp_low_band,0.0,False,False
