config_idx,transform_id,normalized_l2_raw_residual
15,identity,7.828532375777e-17
15,random_0,1.406989086992
15,random_1,1.421623342078
15,random_2,1.400533563916
15,random_3,1.420051060315
15,random_4,1.42853894481
15,random_5,1.416666937189
15,random_6,1.419659458427
15,random_7,1.432245839104
16,identity,7.939681266190e-17
16,random_0,1.402254090234
16,random_1,1.401653158356
16,random_2,1.412428218948
16,random_3,1.421046527187
16,random_4,1.415066530578
16,random_5,1.402627376659
16,random_6,1.410509466249
16,random_7,1.412615021108
17,identity,7.983075791071e-17
17,random_0,1.410386058202
17,random_1,1.412178659792
17,random_2,1.414390155988
17,random_3,1.411357465875
17,random_4,1.419523939569
17,random_5,1.401293423032
17,random_6,1.419826047961
17,random_7,1.415044591928
18,identity,8.261123250256e-17
18,random_0,1.409283068111
18,random_1,1.413502132975
18,random_2,1.418898657871
18,random_3,1.418225294422
18,random_4,1.426376896639
18,random_5,1.430184085648
18,random_6,1.414677886171
18,random_7,1.416952153326
19,identity,8.016578868489e-17
19,random_0,1.409984214282
19,random_1,1.408341923527
19,random_2,1.422851610734
19,random_3,1.408047710971
19,random_4,1.409428502344
19,random_5,1.421266603145
19,random_6,1.423245457706
19,random_7,1.419221608149
20,identity,7.262138437543e-17
20,random_0,1.406101579592
20,random_1,1.412688420862
20,random_2,1.413285275943
20,random_3,1.422423664328
20,random_4,1.408745584134
20,random_5,1.421663329835
20,random_6,1.433069291727
20,random_7,1.419362798246
21,identity,7.819499028945e-17
21,random_0,1.402959692483
21,random_1,1.422407800904
21,random_2,1.421227442145
21,random_3,1.41608262078
21,random_4,1.419175312213
21,random_5,1.41673946871
21,random_6,1.413829179982
21,random_7,1.415520789547
22,identity,7.773297209274e-17
22,random_0,1.412033706092
22,random_1,1.410576262521
22,random_2,1.410156939735
22,random_3,1.416581294294
22,random_4,1.40664707027
22,random_5,1.421980880763
22,random_6,1.394743654119
22,random_7,1.40574366523
23,identity,8.038313843495e-17
23,random_0,1.42032909441
23,random_1,1.399441520734
23,random_2,1.422676017457
23,random_3,1.415932898778
23,random_4,1.42339437859
23,random_5,1.412958260688
23,random_6,1.42722026572
23,random_7,1.430734031176
24,identity,7.879890521470e-17
24,random_0,1.409893080559
24,random_1,1.412389875395
24,random_2,1.431512495014
24,random_3,1.440381764177
24,random_4,1.423293474609
24,random_5,1.414805864245
24,random_6,1.400196172805
24,random_7,1.418707514892
25,identity,7.393728470252e-17
25,random_0,1.412977612178
25,random_1,1.402043551489
25,random_2,1.419031613074
25,random_3,1.414922631923
25,random_4,1.412115926203
25,random_5,1.416120505029
25,random_6,1.403867556228
25,random_7,1.422878714008
26,identity,7.750046648014e-17
26,random_0,1.406231386243
26,random_1,1.415406995843
26,random_2,1.427122886106
26,random_3,1.421047799939
26,random_4,1.414953169464
26,random_5,1.41400735391
26,random_6,1.421077662428
26,random_7,1.431452289373
27,identity,7.409457544404e-17
27,random_0,1.417395640402
27,random_1,1.421631895908
27,random_2,1.409682155859
27,random_3,1.415301325572
27,random_4,1.415856931034
27,random_5,1.407981792968
27,random_6,1.411853569844
27,random_7,1.410968718103
28,identity,7.976448113743e-17
28,random_0,1.41856771668
28,random_1,1.417158928152
28,random_2,1.409343178423
28,random_3,1.422329261804
28,random_4,1.41301421485
28,random_5,1.421252451598
28,random_6,1.423043163564
28,random_7,1.414266919871
29,identity,7.762210037090e-17
29,random_0,1.420777701931
29,random_1,1.418396297024
29,random_2,1.401645984766
29,random_3,1.419497605009
29,random_4,1.406545231321
29,random_5,1.412374004568
29,random_6,1.441038353516
29,random_7,1.404391058157
30,identity,8.161267494615e-17
30,random_0,1.411510196077
30,random_1,1.410365670538
30,random_2,1.405205145947
30,random_3,1.415203050673
30,random_4,1.419503559904
30,random_5,1.419145461255
30,random_6,1.42049832225
30,random_7,1.407664137307
31,identity,8.422196025100e-17
31,random_0,1.406800419729
31,random_1,1.415184851217
31,random_2,1.405901738665
31,random_3,1.414147590956
31,random_4,1.414761854774
31,random_5,1.408890850896
31,random_6,1.421437364842
31,random_7,1.413632006943
