beta,config_idx,W11_mean,W11_var,W12_mean,W12_var,W13_mean,W13_var,W22_mean,W22_var
2.8,12,0.985453530106,0.000810532432,0.949786701234,0.004274269122,0.905092571893,0.01086376612,0.833183711772,0.02844204816
2.8,13,0.987755856546,0.00015370605,0.956203742785,0.001703016955,0.915206742827,0.005609628379,0.848680797386,0.016933637923
2.8,14,0.985328753179,0.000598723776,0.948901856989,0.004283690899,0.902775196668,0.01193099022,0.829627382516,0.031660584497
2.8,15,0.987228921575,0.000306675006,0.954635295887,0.002316932747,0.912182762591,0.006875042845,0.844129968819,0.01919610935
2.8,16,0.987056872313,0.000406428104,0.954259358144,0.002836833252,0.911893642253,0.008027452996,0.844166041472,0.021572435622
2.8,17,0.986204323625,0.00035742554,0.951076873101,0.002561752362,0.905416875818,0.007294007213,0.832568082347,0.019760831787
2.8,18,0.987270754733,0.000166793166,0.954220561328,0.001818928928,0.910714799796,0.005989386543,0.841161324813,0.017911960565
2.8,19,0.988466639629,0.000158170399,0.958682609273,0.001755711038,0.919762729421,0.005837221022,0.85725851922,0.017528841631
2.8,20,0.986224124785,0.000284316205,0.951507653199,0.002676730329,0.907192723152,0.008142176409,0.836012214507,0.023154581057
2.8,21,0.986196573222,0.000395314088,0.95122751435,0.002889567273,0.906104054335,0.008303082609,0.833816261974,0.023062050498
2.8,22,0.986894186027,0.000230425802,0.953253476692,0.002153175089,0.909289263759,0.006603852432,0.839250560402,0.01893633844
2.8,23,0.985855943184,0.000263794706,0.949790748404,0.002574201488,0.90307621318,0.00790045918,0.828737414528,0.022609381273
2.8,24,0.98607905827,0.00026555721,0.950547791993,0.002649241079,0.904722106107,0.008319349083,0.831181241353,0.024454169858
2.8,25,0.989235036923,0.000130613725,0.961320613833,0.001537768018,0.924724460497,0.005270110718,0.865690407622,0.015916716057
2.8,26,0.987621335769,0.000176487064,0.955499673497,0.001988749124,0.913267654912,0.006719091344,0.845765681123,0.01995396979
2.8,27,0.988000906816,0.000185918889,0.956870585761,0.001937239119,0.915786952324,0.006370112944,0.850364595302,0.018753529924
2.8,28,0.988033305519,0.000202849689,0.957432373763,0.002110752978,0.917863107292,0.006677858257,0.853903234314,0.019522370207
2.8,29,0.987247863512,0.000135589033,0.954246942667,0.001540722862,0.911077529205,0.005262227189,0.841614575762,0.015857211949
2.8,30,0.985443414579,0.000402674865,0.948756098984,0.00301134489,0.901448763772,0.008830545726,0.826091182983,0.024049177873
2.8,31,0.989534880382,0.000100301795,0.962502094921,0.00114367565,0.92717559885,0.003859484959,0.86964073623,0.011836231675
