beta,config_idx,W11_mean_diff_vs_v0,W11_var_diff_vs_v0,W12_mean_diff_vs_v0,W12_var_diff_vs_v0,W13_mean_diff_vs_v0,W13_var_diff_vs_v0,W22_mean_diff_vs_v0,W22_var_diff_vs_v0,max_abs_residual
2.4,28,-1.354472090043e-13,3.145261828763e-13,3.396172232328e-13,8.479328350575e-14,-3.253786129420e-13,-3.524402991673e-13,-3.802513859341e-14,6.633582572135e-15,3.524402991673e-13
2.4,29,-3.941291737419e-13,-1.652705750033e-13,-1.383337888683e-13,-4.323763569403e-13,-3.320677066654e-13,4.400091402346e-13,3.735900477864e-13,4.440892098501e-16,4.400091402346e-13
2.4,30,-1.283417816467e-13,1.744715483198e-13,3.376188217885e-13,-3.945455073762e-13,-2.103872631665e-14,3.993749775333e-13,2.910172103299e-13,-2.361999484890e-14,3.993749775333e-13
2.4,31,-3.752553823233e-13,-3.165245843206e-13,2.104982854689e-13,-3.691214001122e-13,-4.228284389285e-13,2.709776847354e-13,2.157024558969e-13,4.999889391399e-13,4.999889391399e-13
2.8,0,3.239630785856e-13,4.433675648841e-13,3.029243522690e-13,-2.635114348948e-13,-7.455147610358e-14,3.047562202596e-13,4.901634653720e-13,3.584910146515e-13,4.901634653720e-13
2.8,1,2.644551244657e-13,4.968248035198e-13,-6.605826996520e-14,-4.321543123353e-14,-9.409140133698e-15,1.487143741485e-13,-2.634004125923e-14,-4.859446178784e-13,4.968248035198e-13
2.8,2,-1.340039190723e-13,4.458239333260e-13,-2.776667784588e-13,2.647326802219e-13,2.555455846931e-13,-4.466427228067e-13,-4.689026944504e-13,2.188804693048e-13,4.689026944504e-13
2.8,3,4.586331314727e-13,-3.884809141042e-13,4.721778523731e-13,6.492029136496e-14,1.649236303081e-13,9.994782779188e-14,1.809941085895e-13,-3.555489236362e-14,4.721778523731e-13
2.8,4,1.051381204320e-13,-4.714145740436e-13,4.940492459582e-14,1.110778136137e-13,4.199418590645e-14,-9.589551375200e-14,-3.567979245389e-13,4.633515793273e-13,4.714145740436e-13
2.8,5,-4.032330025439e-13,-2.008671007303e-13,-3.028688411177e-13,-1.959266082707e-13,-2.212952043834e-13,-3.297639938893e-13,7.191469642009e-14,1.093569679256e-14,4.032330025439e-13
2.8,6,9.003908729710e-14,1.023625628704e-13,-4.589661983800e-13,-2.360334150353e-13,2.765010442829e-13,1.837974217267e-13,-7.613354391367e-14,1.455779941040e-13,4.589661983800e-13
2.8,7,3.679279103608e-13,7.352451980580e-14,-4.640177131421e-13,-7.657763312352e-14,-4.643507800495e-14,6.306066779871e-14,4.123090757702e-13,-1.661171200595e-13,4.640177131421e-13
2.8,8,4.357625371654e-13,2.601946436087e-13,3.309019724895e-13,-9.772738174263e-14,-4.446443213624e-14,1.618150058391e-14,-4.314326673693e-13,1.812439087701e-13,4.357625371654e-13
2.8,9,2.968736367848e-13,-1.368211099972e-13,2.062794379754e-13,1.551814232670e-13,4.704292511093e-13,-2.936817455890e-13,-3.171907181354e-13,1.723621245731e-14,4.704292511093e-13
2.8,10,-4.413136522885e-13,-4.225508831723e-13,1.106337244039e-13,-4.202194148206e-13,2.236821838864e-13,-4.271860643001e-13,-2.265687637504e-13,-3.082534227872e-13,4.413136522885e-13
2.8,11,-3.627098621450e-13,-3.717165464323e-13,2.889910533099e-13,2.213784711103e-13,5.695444116327e-14,-2.572386748056e-13,2.893518757929e-13,1.256772463876e-13,3.717165464323e-13
2.8,12,4.873879078104e-14,9.685308111074e-14,-1.872946242543e-13,-4.758415883543e-13,-4.990452495690e-14,3.776146062506e-13,-1.496580637195e-13,-4.265754416366e-13,4.758415883543e-13
2.8,13,3.584910146515e-13,-2.726013859089e-13,-3.161360062620e-13,-1.140754157802e-13,2.856603842361e-13,-7.138734048340e-14,4.327094238477e-13,-1.748046152272e-13,4.327094238477e-13
2.8,14,1.206812427768e-13,2.307598556683e-13,-2.425282197294e-13,-3.392286451742e-13,7.843725668977e-14,1.208755318061e-13,-1.479094624557e-13,-4.980738044225e-13,4.980738044225e-13
2.8,15,-4.729550084903e-13,-1.098565682867e-13,-1.904587598744e-13,3.030353745714e-13,-4.368727601900e-14,-3.416433802528e-13,-3.452793606584e-13,4.185263247081e-13,4.729550084903e-13
2.8,16,-1.896260926060e-13,-2.539635168830e-15,-4.406475184737e-13,2.067512827608e-13,3.094469125386e-13,4.543032616766e-13,-4.354294702580e-13,-1.854627562636e-13,4.543032616766e-13
2.8,17,-7.327471962526e-15,-2.624567230214e-13,8.165690346118e-14,-2.378375274503e-13,-2.417510636121e-14,2.495226247845e-13,2.536859611268e-14,-4.603262215852e-13,4.603262215852e-13
2.8,18,-1.305622276959e-13,2.744193761117e-13,4.677924714258e-13,-7.624456621613e-14,2.417510636121e-13,2.906563878469e-13,4.190814362204e-13,2.858824288410e-15,4.677924714258e-13
